ID	TOKENS	PROTOFORM	IPA	COUNTERPART	COGIDS	DOCULECT	NOTE	STRUCTURE	BORROWING	CONCEPT	PROTO	GLOSSID
1153	b ɪ ɡ ɪ n	*biginnăną	bɪɡɪn	begin	316	English				begin	*biginnăną	11
1943	b e ġ i n n a n	*biginnăną	bɪɡɪn	beġinnan	316	Old_English	Palatalization of *g between *i and *i is regular per R/T §6.4.1 Rule 1. OE beġinnan confirmed (Wiktionary, BT).			begin	*biginnăną	11
1152	b ə ɡ ɪ n ə n	*biginnăną	bəɡɪnən	beginnen	316	German				begin	*biginnăną	11
266	x ə l oː v ə	*galaubjăną	xəloːvə	geloven	73	Dutch	Proto: *laubjăną → *galaubjăną (ga- prefix set: Du. geloven, G glauben, OE ġelīefan)			believe	*galaubjăną	12
265			bɪliːv		73	English	Out-of-set: ME believe < OE belīefan (be- prefixed *bilaubijan), distinct from ge-/ga- formation			believe	*galaubjăną	12
1944	ġ e l ī e f a n	*galaubjăną	bɪliːv	ġelīefan	73	Old_English	TSV: belīefan → ġelīefan (WS ge- formation; cf. Du. geloven, G glauben)			believe	*galaubjăną	12
264	ɡ l au b ə n	*galaubjăną	ɡlaubən	glauben	73	German	Proto: *laubjăną → *galaubjăną (ga- prefix set)			believe	*galaubjăną	12
1688	b ɑ l x	*balgiz	bɑlx	balg	462	Dutch				belly	*balgiz	13
1687	b ɛ l ɪ	*balgiz	bɛlɪ	belly	462	English				belly	*balgiz	13
1945	b i e l ġ	*balgiz	wɒmb	bielġ	462	Old_English	Source: Wiktionary Old English Swadesh list (retrieved 2025-12-12) | Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			belly	*balgiz	13
1686	b a l k	*balgiz	balk	Balg	462	German		C V C C		belly	*balgiz	13
262	b ɛ s	*bazją	bɛs	bes	72	Dutch				berry	*bazją	14
261	b ɛ r ɪ	*bazją	bɛrɪ	berry	72	English				berry	*bazją	14
1946	b e r ġ e s	*bazjas	berġes	berġes	72	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh) | Note: using gen.sg. *bazjas (> berġes); R/T vol.2 §6.8.2: *rj did not geminate in PWGmc			berry	*bazjas	14
260	b eː r ə	*bazją	beːrə	Beere	72	German				berry	*bazją	14
546	b iː d ə	*beudăną	biːdə	bieden	149	Dutch				bid	*beudăną	15
1453	b ɪ d ə	*bidjăną	bɪdə	bidden	397	Dutch				bid	*bidjăną	15
545	b ɪ d	*beudăną	bɪd	bid	149	English				bid	*beudăną	15
1947	b ɪ d	*beudăną	bɪd	-	149	Old_English	Source: Wiktionary etymology (template:der) | Source: Wiktionary etymology (template:der)			bid	*beudăną	15
1452	b ɪ d	*bidjăną	bɪd	bid	397	English				bid	*bidjăną	15
1948	b ɪ d	*bidjăną	bɪd	-	397	Old_English	Source: Wiktionary etymology (template:der) | Source: Wiktionary etymology (template:der)			bid	*bidjăną	15
544	b iː t ə n	*beudăną	biːtən	bieten	149	German				bid	*beudăną	15
1451	b ɪ t ə n	*bidjăną	bɪtən	bitten	397	German				bid	*bidjăną	15
472	b aː r	*barwōn	baːr	baar	129	Dutch				bier	*barwōn	16
471	b ɪə	*barwōn	bɪə	bier	129	English				bier	*barwōn	16
1949	b ǣ r	*bērō	bɪə	bǣr	129	Old_English	Wiktionary: PGmc *bērō > OE bēr/bǣr (bier); *barwōn is wrong lexeme			bier	*bērō	16
470	b aː r ə	*barwōn	baːrə	Bahre	129	German		C V C		bier	*barwōn	16
584	b ɪ n d ə	*bindăną	bɪndə	binden	160	Dutch				bind	*bindăną	17
583	b aɪ n d	*bindăną	baɪnd	bind	160	English				bind	*bindăną	17
1950	b i n d a n	*bindăną	baɪnd	bindan	160	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bind	*bindăną	17
582	b ɪ n d ə n	*bindăną	bɪndən	binden	160	German				bind	*bindăną	17
390	x ə b oː r t ə	*burdiz	xəboːrtə	geboorte	107	Dutch				birth	*burdiz	18
389	b ɜː θ	*burdiz	bɜːθ	birth	107	English				birth	*burdiz	18
1951	b y r d	*burdiz	bɜːθ	byrd	107	Old_English	Kroonen *burdi- f. > OE (ġe)byrd; using simplex without ge-			birth	*burdiz	18
388	ɡ ə b uː r t	*burdiz	ɡəbuːrt	Geburt	107	German				birth	*burdiz	18
856	b l uː t	*blōdą	bluːt	bloed	235	Dutch				blood	*blōdą	19
855	b l ʌ d	*blōdą	blʌd	blood	235	English				blood	*blōdą	19
1952	b l ō d	*blōdą	bloːd	blōd	235	Old_English	Source: Wiktionary Old English Swadesh list (retrieved 2025-12-12) | Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			blood	*blōdą	19
854	b l uː t	*blōdą	bluːt	Blut	235	German				blood	*blōdą	19
1302	b ɔ r t	*burdą	bɔrt	bord	357	Dutch				board	*burdą	20
1301	b ɔː d	*burdą	bɔːd	board	357	English				board	*burdą	20
1953	b o r d	*burdą	bɔːd	bord	357	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			board	*burdą	20
1300	b ɔ r t	*burdą	bɔrt	Bord	357	German	BOR		Low German	board	*burdą	20
1037	b eː n	*bainą	beːn	been	284	Dutch				bone	*bainą	21
1036	b əʊ n	*bainą	bəʊn	bone	284	English				bone	*bainą	21
1954	b ā n	*bainą	bɑːn	bān	284	Old_English	Proto: oblique *bainăn→*bainą (n. a-stem nom.sg.; Kroonen)			bone	*bainą	21
1035	b ai n	*bainą	bain	Bein	284	German		C V C		bone	*bainą	21
937	b uː k	*bōkz	buːk	boek	257	Dutch				book	*bōkz	22
936	b ʊ k	*bōkz	bʊk	book	257	English				book	*bōkz	22
1955	b ō c	*bōkz	bʊk	bōc	257	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			book	*bōkz	22
935	b uː x	*bōkz	buːx	Buch	257	German				book	*bōkz	22
382	b oː r ə	*burōjăną	boːrə	boren	105	Dutch				bore	*burōjăną	23
381	b ɔː	*burōjăną	bɔː	bore	105	English				bore	*burōjăną	23
1956	b o r i a n	*burōjăną	bɔː	borian	105	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bore	*burōjăną	23
380	b oː r ə n	*burōjăną	boːrən	bohren	105	German				bore	*burōjăną	23
26	b uː z ə m	*bōsmăz	buːzəm	boezem	7	Dutch				bosom	*bōsmăz	24
25	b ʊ z ə m	*bōsmăz	bʊzəm	bosom	7	English				bosom	*bōsmăz	24
1957	b ō s m	*bōsmăz	bʊzəm	bōsm	7	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bosom	*bōsmăz	24
24	b uː z ə n	*bōsmăz	buːzən	Busen	7	German				bosom	*bōsmăz	24
641	b ɛɪ d ə	*bō	bɛɪdə	beide	176	Dutch				both	*bō	25
640	b əʊ θ	*bō	bəʊθ	both	176	English				both	*bō	25
1958	b ā ] ] [ [ þ ā	*bō	bəʊθ	bā]] [[þā	176	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			both	*bō	25
639	b ai d ə	*bō	baidə	beide	176	German				both	*bō	25
818	b oː d ə m	*budmăz	boːdəm	bodem	224	Dutch				bottom	*budmăz	26
817	b ɔ t ə m	*budmăz	bɔtəm	bottom	224	English				bottom	*budmăz	26
1959	b o t m	*budmăz	bɔtəm	botm	224	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bottom	*budmăz	26
816	b oː d ə n	*budmăz	boːdən	Boden	224	German	BOR			bottom	*budmăz	26
224	b aʊ	*bōguz	baʊ	bough	62	English				bough	*bōguz	334
1960	b ō g	*bōguz	baʊ	bōg	62	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bough	*bōguz	334
223	b uː k	*bōguz	buːk	Bug	62	German				bough	*bōguz	334
1298	b œy ɣ ə	*baugjăną	bœyɣə	buigen	356	Dutch				bow	*baugjăną	27
930	b œy ɣ ə	*beugăną	bœyɣə	buigen	255	Dutch				bow	*beugăną	27
1420	b oː x	*bugô	boːx	boog	388	Dutch				bow	*bugô	27
1297	b əʊ	*baugjăną	bəʊ	bow	356	English				bow	*baugjăną	27
1961	b ī e ġ a n	*baugjăną	bəʊ	bīeġan	356	Old_English	Kroonen *baugjan- wv. 'to (make) bend' → OE bīeġan; boga is the noun *bugan-			bow	*baugjăną	27
929	b əʊ	*beugăną	bəʊ	bow	255	English				bow	*beugăną	27
1962	b ū g a n	*beugăną	bəʊ	būgan	255	Old_English	Kroonen *beugan- sv.2 'to bend, bow' → OE būgan; boga is the noun *bugan-			bow	*beugăną	27
1419	b əʊ	*bugô	bəʊ	bow	388	English				bow	*bugô	27
1963	b o g a	*bugô	bəʊ	boga	388	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bow	*bugô	27
1296	b ɔy ɡ ə n	*baugjăną	bɔyɡən	beugen	356	German		C V c - v c		bow	*baugjăną	27
928	b iː ɡ ə n	*beugăną	biːɡən	biegen	255	German				bow	*beugăną	27
1418	b oː ɡ ə n	*bugô	boːɡən	Bogen	388	German				bow	*bugô	27
1033	b uː r	*būrą	buːr	boer	283	Dutch				bower	*būrą	28
1032	b aʊ ə	*būrą	baʊə	bower	283	English				bower	*būrą	28
1964	b ū r	*būrą	baʊə	būr	283	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bower	*būrą	28
1031	b au ə r	*būrą	bauər	Bauer	283	German				bower	*būrą	28
798	b r ɑ n t	*brandăz	brɑnt	brand	218	Dutch				brand	*brandăz	29
797	b r æ n d	*brandăz	brænd	brand	218	English				brand	*brandăz	29
1965	b r a n d	*brandas	brænd	brandes	218	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)	 | Note: using gen.sg. *brandas (> brandes)		brand	*brandas	29
796	b r a n t	*brandăz	brant	Brand	218	German				brand	*brandăz	29
1158	b r oː t	*braudą	broːt	brood	317	Dutch				bread	*braudą	30
1157	b r ɛ d	*braudą	brɛd	bread	317	English				bread	*braudą	30
1966	b r ē a d	*braudą	brɛd	brēad	317	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bread	*braudą	30
1156	b r oː t	*braudą	broːt	Brot	317	German				bread	*braudą	30
503	b r eː k ə	*brekăną	breːkə	breken	137	Dutch				break	*brekăną	31
502	b r eɪ k	*brekăną	breɪk	break	137	English				break	*brekăną	31
1967	b r e c a n	*brekăną	breɪk	brecan	137	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			break	*brekăną	31
501	b r ɛ x ə n	*brekăną	brɛxən	brechen	137	German				break	*brekăną	31
1773	b ɔ r s t	*brustz	bɔrst	borst	485	Dutch				breast	*brustz	32
1772	b r ɛ s t	*brustz	brɛst	breast	485	English				breast	*brustz	32
1968	b r ē o s t	*brustz	breːo̯st	brēost	485	Old_English	Source: Wiktionary Old English Swadesh list (retrieved 2025-12-12) | Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			breast	*brustz	32
1771	b r ʊ s t	*brustz	brʊst	Brust	485	German				breast	*brustz	32
1516	b r uː k	*brōkiz	bruːk	broek	415	Dutch	Proto: *brekăną→*brōkiz (Kroonen *brōk- f. 'breeches', nom.pl. with i-mutation)			breeches	*brōkiz	33
1515	b r ʊ k	*brōkiz	brʊk	breeches	415	English	Proto: *brekăną→*brōkiz (Kroonen *brōk- f. 'breeches')			breeches	*brōkiz	33
1969	b r ē ċ	*brōkiz	brʊk	brēċ	415	Old_English	Proto: *brekăną→*brōkiz (Kroonen *brōk- f. 'breeches', nom.pl.; i-umlaut ō→ē)			breeches	*brōkiz	33
1514	b r ʊ x	*brōkiz	brʊx	Bruch	415	German	Proto: *brekăną→*brōkiz (Kroonen *brōk- f. 'breeches')			breeches	*brōkiz	33
296	b r œy t	*brūdiz	brœyt	bruid	82	Dutch				bride	*brūdiz	34
295	b r aɪ d	*brūdiz	braɪd	bride	82	English				bride	*brūdiz	34
1970	b r ȳ d	*brūdiz	braɪd	brȳd	82	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bride	*brūdiz	34
294	b r au t	*brūdiz	braut	Braut	82	German				bride	*brūdiz	34
1652	b r ɛ ŋ ə	*bringăną	brɛŋə	brengen	453	Dutch				bring	*bringăną	35
1651	b r ɪ ŋ	*bringăną	brɪŋ	bring	453	English				bring	*bringăną	35
1971	b r i n g a n	*bringăną	brɪŋ	bringan	453	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bring	*bringăną	35
1650	b r ɪ ŋ ə n	*bringăną	brɪŋən	bringen	453	German				bring	*bringăną	35
1136	x ə b r œy k ə	*brūkăną	xəbrœykə	gebruiken	311	Dutch				brook	*brūkăną	36
1135	b r ʊ k	*brūkăną	brʊk	brook	311	English				brook	*brūkăną	36
1972	b r ū c a n	*brūkăną	brʊk	brūcan	311	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			brook	*brūkăną	36
1134	b r au x ə n	*brūkăną	brauxən	brauchen	311	German				brook	*brūkăną	36
34	b ɔ k	*bukkăz	bɔk	bok	9	Dutch				buck	*bukkăz	37
33	b ʌ k	*bukkăz	bʌk	buck	9	English				buck	*bukkăz	37
1973	b u c c	*bukkăz	bʌk	bucc	9	Old_English	Kroonen p.98 *bukka(n)- > OE bucc; u retained near labial b despite non-high following vowel (R/T §2.3.1 p.33, cf. Luick 1914-40: 105-6)			buck	*bukkăz	37
32	b ɔ k	*bukkăz	bɔk	Bock	9	German				buck	*bukkăz	37
1754	b ɑ r s t ə	*brestăną	bɑrstə	barsten	480	Dutch				burst	*brestăną	38
1753	b ɜː s t	*brestăną	bɜːst	burst	480	English				burst	*brestăną	38
1974	b e r s t a n	*brestăną	bɜːst	berstan	480	Old_English	Source: Wiktionary etymology (template:der) | Source: Wiktionary etymology (template:der)			burst	*brestăną	38
1752	b ɛ r s t ə n	*brestăną	bɛrstən	bersten	480	German				burst	*brestăną	38
193	k ɑ l f	*kalbăz	kɑlf	kalf	54	Dutch				calf	*kalbăz	39
192	k ɑː f	*kalbăz	kɑːf	calf	54	English				calf	*kalbăz	39
1975	ċ e a l f	*kalbăz	kɑːf	ċealf	54	Old_English	TSV: cealf → ċealf; WS palatalized initial (R/T §6.4.1 rule 1: k before front vowel)			calf	*kalbăz	39
191	k a l p	*kalbăz	kalp	Kalb	54	German				calf	*kalbăz	39
993	k ɑu ʋ ə	*kewwăną	kɑuʋə	kauwen	272	Dutch				chew	*kewwăną	40
992	ʧ uː	*kewwăną	ʧuː	chew	272	English				chew	*kewwăną	40
1976	ċ ē o w a n	*kewwăną	ʧuː	ċēowan	272	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			chew	*kewwăną	40
991	k au ə n	*kewwăną	kauən	kauen	272	German				chew	*kewwăną	40
557	k l ɪ m ə	*klimbăną	klɪmə	klimmen	152	Dutch				climb	*klimbăną	41
556	k l aɪ m	*klimbăną	klaɪm	climb	152	English				climb	*klimbăną	41
1977	c l i m b a n	*klimbăną	klaɪm	climban	152	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			climb	*klimbăną	41
555	k l ɪ m ə n	*klimbăną	klɪmən	klimmen	152	German				climb	*klimbăną	41
1680	k ɑ m	*kambăz	kɑm	kam	460	Dutch				comb	*kambăz	42
1679	k əʊ m	*kambăz	kəʊm	comb	460	English				comb	*kambăz	42
1978	c a m b	*kambăz	kəʊm	camb	460	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			comb	*kambăz	42
1678	k a m	*kambăz	kam	Kamm	460	German				comb	*kambăz	42
8	k oː r ə	*kurną	koːrə	koren	533	Dutch				corn	*kurną	43
7	k ɔː n	*kurną	kɔːn	corn	533	English				corn	*kurną	43
1979	c o r n	*kurną	kɔːn	corn	533	Old_English	Proto: oblique *kurnăn→*kurną (n. a-stem nom.sg.; Kroonen)			corn	*kurną	43
6	k ɔ r n	*kurną	kɔrn	Korn	533	German				corn	*kurną	43
1093	k uː	*kōz	kuː	koe	299	Dutch	TSV fix: proto *kōwz → *kōz (Kroonen *kō- ~ *ku-, nom.sg. *kōz; -w- was spurious, not in Kroonen or R/T)			cow	*kōz	44
1092	k aʊ	*kōz	kaʊ	cow	299	English	TSV fix: proto *kōwz → *kōz (correct PGmc nom.sg. per Kroonen)			cow	*kōz	44
1980	c ȳ	*kūi	kyː	cȳ	299	Old_English	TSV fix: using PGmc dat.sg. *kūi (> OE cȳ by i-umlaut, R/T §6.6.1). Root noun *kō- ~ *kū- (Kroonen): nom. *kōz, obl. *kū-. OE leveled zero-grade *kū- to all cases; dat.sg. cȳ < *kūi is lautgesetzlich. See docs/analysis/cow_root_noun_investigation.md			cow	*kūi	44
1091	k uː	*kōz	kuː	Kuh	299	German	TSV fix: proto *kōwz → *kōz (correct PGmc nom.sg. per Kroonen)			cow	*kōz	44
1508	k r ɑ x t	*kraftiz	krɑxt	kracht	413	Dutch				craft	*kraftiz	45
1507	k r ɑː f t	*kraftiz	krɑːft	craft	413	English				craft	*kraftiz	45
1981	c r æ f t	*kraftăz	krɑːft	cræft	413	Old_English	Kroonen: *kraftu- m. 'strength' (u-stem); Orel: *kraftiz ~ *kraftuz. OE cræft has æ (not e), ruling out i-stem *-iz which would trigger i-umlaut. Using a-stem *kraftăz.			craft	*kraftăz	45
1506	k r a f t	*kraftiz	kraft	Kraft	413	German				craft	*kraftiz	45
881	k r ɔ p	*kruppăz	krɔp	krop	242	Dutch				crop	*kruppăz	46
880	k r ɔ p	*kruppăz	krɔp	crop	242	English				crop	*kruppăz	46
1982	c r o p p	*kruppăz	krɔp	cropp	242	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			crop	*kruppăz	46
879	k r ɔ pf	*kruppăz	krɔp͡f	Kropf	242	German				crop	*kruppăz	46
1247	k ɪ t	*kwiθuz	kɪt	kit	342	Dutch				cud	*kwiθuz	47
1246	k ʌ d	*kwiθuz	kʌd	cud	342	English				cud	*kwiθuz	47
1983	c u d u	*kwiθuz	kʌd	cudu	342	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			cud	*kwiθuz	47
1245	k ɪ t	*kwiθuz	kɪt	Kitt	342	German				cud	*kwiθuz	47
1184	d ɑ l	*dalăz	dɑl	dal	324	Dutch				dale	*dalăz	48
1183	d eɪ l	*dalăz	deɪl	dale	324	English				dale	*dalăz	48
1984	d æ l	*dalăz	deɪl	dæl	324	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			dale	*dalăz	48
1182	t aː l	*dalăz	taːl	Tal	324	German				dale	*dalăz	48
783	d ɑ x	*dagăz	dɑx	dag	214	Dutch				day	*dagăz	49
782	d eɪ	*dagăz	deɪ	day	214	English				day	*dagăz	49
1985	d æ ġ	*dagăz	dæj	dæġ	214	Old_English	Source: Wiktionary Old English Swadesh list (retrieved 2025-12-12) | Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			day	*dagăz	49
781	t aː k	*dagăz	taːk	Tag	214	German				day	*dagăz	49
1085	d eː l	*dailiz	deːl	deel	297	Dutch				deal	*dailiz	50
1084	d iː l	*dailiz	diːl	deal	297	English				deal	*dailiz	50
1986	d ǣ l	*dailiz	diːl	dǣl	297	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			deal	*dailiz	50
1083	t ai l	*dailiz	tail	Teil	297	German				deal	*dailiz	50
580	d aː t	*dēdiz	daːt	daad	159	Dutch				deed	*dēdiz	51
579	d iː d	*dēdiz	diːd	deed	159	English				deed	*dēdiz	51
1987	d ǣ d	*dēdiz	diːd	dǣd	159	Old_English	R/T vol.2 13823: PGmc *dēdiz > WS OE dǣd (not Anglian dēd)			deed	*dēdiz	51
578	t aː t	*dēdiz	taːt	Tat	159	German				deed	*dēdiz	51
409	d iː r	*deuzą	diːr	dier	112	Dutch				deer	*deuzą	52
408	d ɪə	*deuzą	dɪə	deer	112	English				deer	*deuzą	52
1988	d ē o r	*deuzą	dɪə	dēor	112	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			deer	*deuzą	52
407	t iː r	*deuzą	tiːr	Tier	112	German				deer	*deuzą	52
1520	d ɑu ʋ	*dawwō	dɑuʋ	dauw	416	Dutch				dew	*dawwō	53
1519	d j uː	*dawwō	djuː	dew	416	English				dew	*dawwō	53
1989	d ē a w	*dawwō	djuː	dēaw	416	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			dew	*dawwō	53
1518	t au	*dawwō	tau	Tau	416	German				dew	*dawwō	53
896	d ɪ l ə	*deljăz	dɪlə	dille	246	Dutch				dill	*deljăz	54
895	d ɪ l	*deljăz	dɪl	dill	246	English				dill	*deljăz	54
1990	d i l e	*deljăz	dɪl	dile	246	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			dill	*deljăz	54
894	d ɪ l	*deljăz	dɪl	Dill	246	German	BOR		Low German	dill	*deljăz	54
1584	d uː n	*dōną	duːn	doen	434	Dutch				do	*dōną	55
1583	d uː	*dōną	duː	do	434	English				do	*dōną	55
1991	d o n	*dōną	duː	don	434	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			do	*dōną	55
1582	t uː n	*dōną	tuːn	tun	434	German				do	*dōną	55
103	d ɔː	*durą	dɔː	door	29	English				door	*durą	335
1992	d u r u	*durą	dɔː	duru	29	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			door	*durą	335
102	t oː r	*durą	toːr	Tor	29	German				door	*durą	335
764	d eː x	*daigăz	deːx	deeg	209	Dutch				dough	*daigăz	56
763	d əʊ	*daigăz	dəʊ	dough	209	English				dough	*daigăz	56
1993	d ā g	*daigăz	dəʊ	dāg	209	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			dough	*daigăz	56
762	t ai k	*daigăz	taik	Teig	209	German				dough	*daigăz	56
57	d oː v ə	*dūbōn	doːvə	dove	16	Dutch				dove	*dūbōn	57
56	d ʌ v	*dūbōn	dʌv	dove	16	English				dove	*dūbōn	57
1994	* d ū f e	*dūbōn	dʌv	-	16	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh) | Unattested OE; reconstructed *dūfe. | Attested OE culfre is not cognate with ModE dove; reconstructed *dūfe unattested.			dove	*dūbōn	57
55	t au b ə	*dūbōn	taubə	Taube	16	German				dove	*dūbōn	57
398	d r oː m	*draumăz	droːm	droom	109	Dutch				dream	*draumăz	58
397	d r iː m	*draumăz	driːm	dream	109	English				dream	*draumăz	58
1995	d r ē a m	*draumăz	driːm	drēam	109	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			dream	*draumăz	58
396	t r au m	*draumăz	traum	Traum	109	German				dream	*draumăz	58
744	d r ɑ ŋ k	*drankiz	drɑŋk	drank	204	Dutch				drench	*drankiz	59
